Text,Intent
"Hello, I hope this message finds you well. I was wondering if a driving license would be an acceptable document for domestic flights with SkyWings airline. Is that something that is typically accepted as a valid form of identification? Thank you for your time and assistance.",Travel Documents
"Regarding a SkyWings flight I booked from Mumbai to Bangalore: the payment has been taken, but the ticket hasn't been issued to me. Can you help me resolve this?",Fares And Payments
"Hello, I am a frequent flyer with SkyWings and I would like to join your rewards program. Can you please guide me on how to do that?",Loyalty And Rewards
"Hi, I wanted to know if there are any cancellation fees for my upcoming flight with SkyWings. I'm a bit worried about unexpected changes in my schedule and would like to have all the information before finalizing my booking.","Booking, Modifications And Cancellations"
"Hello, I am a customer looking for information about the frequency of SkyWings flights on a specific Indian route. Could you please provide me with details on the number of flights available per week or month on that route?",Flight Operations
"Hello, I'm interested in learning more about your SkyWings reward points. How long do they remain valid for?",Loyalty And Rewards
"Hello, I am a customer with a query regarding your airline, SkyWings. I am interested in knowing which documents are accepted for foreign nationals traveling on domestic flights. Can you please provide me with a list of accepted documents? Thank you for your assistance.",Travel Documents
"I'm interested in learning more about the training and development programs offered by SkyWings for aspiring pilots. Are there any workshops or sessions available that I can enroll in? I've heard great things about your airline's commitment to safety and professionalism, and I'd love to take advantage of any opportunities to enhance my skills and knowledge.
",Other
"Hi there, I recently booked a domestic flight with SkyWings and noticed that I'm not able to change my payment method. Can you please guide me on how I can make the necessary changes?
",Fares And Payments
"I recently traveled with SkyWings airline and unfortunately, my baggage was lost. I was wondering if there is any information on how to track my lost luggage and what steps I need to take to file a claim. Can you please assist me with this matter?",Baggage
"Hi, I recently booked a domestic flight with SkyWings airline and I was wondering if my booking is eligible for a cancellation refund. Can you please help me with this?","Booking, Modifications And Cancellations"
"Hello, I am a customer of SkyWings and I would like to inquire about requesting a wheelchair in advance for my upcoming domestic flight. Can you please guide me through the process and let me know what information I need to provide? Thank you for your assistance.",Passenger Services
"Hello, I have a query regarding my upcoming flight with SkyWings. I am traveling with a passenger who has special needs and was wondering if it would be possible for a caregiver to accompany them on the flight. Could you please let me know if this is something that can be arranged? Thank you for your help.",Passenger Services
"Hello, I would like to know the check-in procedure for SkyWings domestic flights. Could you please guide me through the steps?",Check-In And Boarding
"Hi, I am planning a trip to Mumbai and was wondering if you could provide me with the baggage allowance for SkyWings airline? Also, could you please let me know if there are any additional fees for exceeding the baggage limit? Thank you in advance for your help.",Baggage
"Hello, do you have any discounts fon group bookings of SkyWings flights?",Fares And Payments
Hi there! I'm having some trouble with my baggage. I have a flight with SkyWings airline tomorrow and I'm not sure if my baggage will make it to my destination. Can you please help me with this issue?,Baggage
"Hello, my name is [Customer Name]. I am currently flying with SkyWings and I have a question regarding my baggage. I have a connecting flight and I was wondering if there is any way to transfer my baggage to my next flight. I would greatly appreciate your assistance in this matter. Thank you.",Baggage
I'm having trouble accessing my account on your website. Can you please help me resolve this issue?,Customer Support
"Hi, I'm having trouble accessing my SkyWings login. Can you please help me with this issue?",Customer Support
"Hi there, I'm looking for information on the aircraft used for domestic flights in India. Could you please provide me with the details on which aircraft is currently in use on a specific route?",Flight Operations
"Hi there, I'm a student traveling with my child on a SkyWings domestic flight. I was wondering if my school ID could be used as a photo ID for my child. Could you please let me know if that's possible?",Travel Documents
I submitted feedback earlier but haven't received a response. Can you please provide an update on my submission? I appreciate your prompt attention to this matter.,Customer Support
"Hi, I'm having trouble accessing my SkyWings account. I've tried resetting my password multiple times, but it's not working. Can you please assist me in resolving this issue?",Customer Support
"Hello, I hope you're having a great day. I recently flew with SkyWings and I'm wondering if I earned any reward points for my flight. Could you please let me know if there's any way I can check my points balance? Thank you so much for your help!
",Loyalty And Rewards
"Hi, I'm planning a trip with a group of friends and we're looking for any group discounts on SkyWings flights. Do you happen to have any promotions or offers available for groups?",Other
"Hello, I have a query regarding my connecting domestic flight with SkyWings airline. Is there any possibility of a delay or cancellation? I would appreciate it if you could provide me with some information regarding the status of my flight. Thank you.",Flight Operations
"Hi, I'm having some trouble with my recent flight. I noticed that the seats were not comfortable and the food was not up to the mark. I was wondering if there's any way I can get a refund or a voucher for my next flight? I'm really disappointed with the service and I hope you can help me out.",Passenger Services
"Hey, my plants are dying! Can you help me fix them? I heard SkyWings has a secret garden with exotic plants. You know, like the ones they serve on the in-flight meals. I bet they have some magic potion that can save my plants. Please reply ASAP!",Irrelevant
"Hello, I'm a customer who recently flew with SkyWings airline. I have a question about the status of my refund. Could you please guide me on how to track it?",Refunds
"Hello, I recently traveled with SkyWings airline and unfortunately, I had to cancel my flight due to unforeseen circumstances. I was wondering if SkyWings offers automatic refunds for cancelled flights, or if I would need to submit a request? Thank you for your assistance.
",Refunds
"Hello, I am calling to inquire about the possibility of a caregiver accompanying a passenger with special needs on your domestic flights. Can you please provide me with more information on this matter?",Passenger Services
"Hi there! I'm sorry to bother you, but I have a question about your airline, SkyWings. I was wondering if photography is allowed on your flights.
",Other
"Hi, I'm a customer with a concern about my baggage. I've been waiting for my baggage for a while now, and I'm starting to get worried. Can you please help me track it down? I appreciate your assistance in resolving this issue.",Baggage
"Hello, I am a customer with a query regarding your airline's policies on travel documents. I would like to know if election photo identification cards are accepted as valid travel documents for domestic flights with SkyWings airline. Thank you for your assistance.",Travel Documents
"Hello, I'm looking to book a flight with SkyWings and I have a question about cabin baggage. Can you please let me know what size and weight of luggage is allowed on domestic flights with your airline? Also, are there any restrictions on the type of items that can be packed in my bag? Thank you in advance for your help.",Baggage
"Hello, I have a query regarding my booking with SkyWings. I would like to cancel or modify it for a refund. Could you please guide me through the process?","Booking, Modifications And Cancellations"
"Hello, I'm sorry to bother you, but I was wondering if you could provide me with an update on my flight to Delhi. It was scheduled to depart at 10 AM, but I haven't seen any boarding announcements or any information about the delay. Could you please let me know what's going on? Thank you for your help.",Flight Operations
"Hi, I'm planning to book a domestic flight with SkyWings airline, and I was wondering if you offer any installment options or payment plans for booking flights? Thank you for your help.
",Fares And Payments
Hi there! I'm planning a domestic flight with SkyWings and I was wondering if I need to provide any additional forms of identification besides my passport. Thank you!,Travel Documents
"Hi, I'm having trouble logging into my SkyWings account. I've tried multiple times, but I keep getting an error message. Can you please help me troubleshoot this issue? I'm a frequent flyer with SkyWings and need to access my account to check my flight status and book future flights. Thank you for your assistance.",Customer Support
"Hi, I recently booked a domestic flight with SkyWings and I was wondering how payments are processed for my booking. Could you please provide me with more information on this? Thank you!
",Fares And Payments
"Hi there, I recently flew with SkyWings and unfortunately, I forgot to enter my loyalty ID. Is there any way I can still claim points for this flight, or do I have to go through the hassle of re-entering my ID?",Loyalty And Rewards
"Hello, I hope this message finds you well. I am a customer looking to travel on a domestic flight with SkyWings airline. I was wondering if you could kindly let me know which documents are accepted for foreign nationals traveling on domestic flights? I appreciate your assistance in this matter.",Travel Documents
"Hello, I am planning a domestic flight with SkyWings and was wondering if you participate in any government travel schemes. I appreciate your help in advance.",Other
"Hi, I have a question about the available assistance for travelers with special needs on SkyWings flights. Can you please provide me with information on the types of assistance that are available, such as wheelchair assistance, priority boarding, and other accommodations? Thank you.",Passenger Services
"Hello, I am a customer with a query regarding your airline. I am traveling from a foreign country and I am unsure if I need a passport for a domestic flight with SkyWings. Could you please provide me with the necessary information regarding this matter?",Fares And Payments
"Hello, I'm sorry to bother you, but I have a question regarding your airline's policies. Are oxygen cylinders allowed onboard for medical reasons? I have a pre-existing condition that requires me to carry one with me at all times.",Passenger Services
"Hi, I'm a customer with a query regarding my booking with SkyWings. I noticed that my name on the booking doesn't match the details on my identity card. Can you please clarify if this is a common issue, and if there's anything I need to do to resolve this? Thank you for your help.","Booking, Modifications And Cancellations"
"Hello, I am looking for information on freelance job websites. Can you please provide me with some details on the different websites available and how they work? Thank you.",Irrelevant
"I have a special need and I am concerned about the assistance available during my flight with SkyWings. Can you please provide me with information on the accommodations and services provided for passengers with special needs? I would appreciate any assistance you can provide.
",Passenger Services
"Hello, I recently booked a domestic flight with SkyWings and unfortunately had to cancel it. I would like to know if my refund will be credited to my original mode of payment. Could you please guide me through the refund process?",Refunds
"Hi, I'm planning to fly with SkyWings for a domestic flight. Could you please advise me on the recommended time to arrive at the airport for check-in? I want to make sure I'm not too early or too late.",Check-In And Boarding
"Hello, thank you for contacting SkyWings. How may I assist you today? I understand that you would like to reset your account password. May I please have your email address or username so that I may assist you further?",Customer Support
Hi there! I have a question regarding seat upgrades using SkyWings loyalty points. Can you please guide me on the process and any specific requirements I need to fulfill?,Loyalty And Rewards
"Hello, I need to make my payment at the airport for my flight booking, what would be the payment options available to me?",Fares And Payments
"Hey, I was wondering if you guys have any good movies on your in-flight entertainment system. I'm not really into action or horror, but something with a good story and some romance would be awesome. Can you recommend something?",Other
"Hello, thank you for contacting SkyWings. I understand that you would like to initiate a refund for a cancelled domestic flight. Can you please provide me with your booking reference number and the dates of your flight?",Refunds
"Hi, I have a query regarding the travel requirements for my upcoming business trip. I need to know if a photo identity card issued by my employer is acceptable for travel with SkyWings airline. I would appreciate it if you could provide me with the necessary information. Thank you.",Travel Documents
"Hi there, I'm planning a trip to Delhi and was wondering if you could help me with some baggage-related queries. I'm looking to check in my luggage and would like to know the weight and size limits for carry-on and checked bags. Also, could you let me know if there are any additional fees for checked baggage? Thank you so much for your time and assistance.",Baggage
"Hello, I hope you're doing well. I am looking to book a flight with SkyWings and was wondering if it is possible to have a caregiver accompany a passenger with special needs. Could you please let me know if this is something that your airline can assist with? Thank you for your time and assistance.",Passenger Services
"Hello, my name is [Your Name] and I am a customer of SkyWings airline. I recently forgot my SkyWings password and was wondering if there is a way for me to recover it. Can you please guide me on how to do that? Thank you in advance for your help.",Customer Support
"Hello, I am having trouble accessing my SkyWings account. Could you please help me reset my password? I have tried multiple times but keep getting an error message. I have checked my email and received the password reset link, but it doesn't seem to be working. Can you please guide me through the process of resetting my password? Thank you for your assistance.",Customer Support
"Hi there, I was wondering if there are any additional fees or charges associated with booking a domestic flight with SkyWings airline? Thank you for your help!
",Fares And Payments
"Hello, I would like to cancel my booking for a domestic flight with SkyWings airline. Can you please guide me through the process?","Booking, Modifications And Cancellations"
"Hi, I'm planning a trip to Mumbai and I was wondering if there are any cancellation fees for my flight with SkyWings airline. I hope you can help me with this. Thank you!","Booking, Modifications And Cancellations"
"Hi, I am a customer who had a domestic flight with SkyWings airline and it was delayed. I was wondering if there is any way to reschedule my flight or get a refund for the inconvenience caused. Can you please guide me on the process?","Booking, Modifications And Cancellations"
"Hello, I have a query regarding transferring baggage between connecting flights. I am traveling from Delhi to Mumbai and would like to know if it is possible to transfer my baggage from my current flight to my connecting flight. Is there any additional charge for this service? Also, could you please provide me with the necessary details and procedures to follow for baggage transfer? Thank you.",Baggage
"Hi, I have a question about SkyWings airline. I was wondering if you offer any rewards for using add-on services like extra legroom or in-flight entertainment? I appreciate any help you can provide.",Loyalty And Rewards
"Hello, I'm calling to inquire about the check-in process for your airline. Is it possible for me to check in with just my phone, without having to visit a physical check-in counter? Thank you.",Check-In And Boarding
"Hello, I recently booked a domestic flight with SkyWings and I need to make some changes to my booking. Can you please guide me on how to modify my reservation?","Booking, Modifications And Cancellations"
"Hi, I have a question regarding my SkyWings reward points. I would like to know how I can redeem them for a flight. Could you please guide me through the process?",Loyalty And Rewards
"Hi there! I have a query regarding my recent booking with SkyWings. I missed the deadline to change my flight, and I was wondering if there is any way to make the change. Can you please assist me with this matter?","Booking, Modifications And Cancellations"
"Hello, I'm interested in your airline's onboard announcements. Do you have any options available in local languages for passengers who prefer to hear announcements in their native language?",Other
"Hello, I am interested in booking a flight with SkyWings airline. Can you please provide me with the latest information on the check-in time window? I would appreciate it if you could let me know the recommended time for check-in. Thank you.",Check-In And Boarding
"Hi, I have a question regarding my baggage policy. I have a few bags with me, and I was wondering if there are any restrictions on the weight or size of the bags I can bring on board. Also, are there any additional fees for checking in baggage?",Baggage
"Hello, I was wondering if you could provide me with some information regarding how SkyWings handles customer privacy and data protection? I would appreciate any insights you can share on this matter.",Other
"Hello, I have some SkyWings loyalty points that I would like to use to upgrade my seat for my upcoming domestic flight. Can you please guide me on how to do this?",Loyalty And Rewards
"Hello, I hope you're doing well. I have a question regarding my recent flight with SkyWings. I received a cancellation confirmation but haven't received any update on my refund. Could you please assist me with this matter? I would appreciate it if you could provide me with the necessary information to proceed with the refund process. Thank you for your time and assistance.",Refunds
"Hi there, I'm flying with SkyWings and was wondering if there will be any onboard entertainment options available during my flight? Thank you!",Passenger Services
"Hello, I have a question regarding my baggage. Can you please help me understand the baggage rules and regulations for SkyWings airline? I have a few concerns about the weight and size of my luggage.",Baggage
"Hello, I recently cancelled a flight with SkyWings and I was wondering how long it usually takes to receive a refund after a cancellation. Can you please provide me with some information on this matter?
",Refunds
"Hello, I'm calling to inquire about the process of renewing my car insurance. I understand that SkyWings operates only domestic flights, so I was wondering if you could provide me with some guidance on how to proceed. I appreciate your help in making this process as smooth as possible. Thank you.",Irrelevant
"Hello, I have a question regarding my upcoming flight with SkyWings. I have a passenger with special needs who requires assistance during the journey. Can a caregiver accompany them on the flight?",Passenger Services
"Hello, I am a frequent flyer with SkyWings and I was wondering if your airline has any initiatives to support local job creation in the cities you operate in. Could you please provide me with more information on this? Thank you.",Other
Can you please provide me with more information on the types of products that SkyWings offers through their in-flight shopping? I'm particularly interested in items that are handcrafted by local artisans.,Other
"Hi, I'm looking for a broadband plan. Can you please provide me with some options and their prices?",Irrelevant
"Hi, I have a question about my recent flight with SkyWings. I noticed that the duration of my flight was calculated differently from the duration displayed on the flight information board. Can you please clarify how the duration is calculated? Also, I would like to know if this discrepancy is common for all flights or if it's specific to my flight. Thank you for your help.",Other
I'm really disappointed with the delay in my SkyWings domestic flight. Can you please let me know why it's taking so long and when I can expect to depart? I have a tight schedule and this delay is causing me a lot of inconvenience.,Flight Operations
Hi there! I'm having trouble with my baggage. I accidentally packed my guitar and my basketball in my checked luggage. Can you please advise me on what to do?,Baggage
Hi there! I'm planning a trip to India and I was wondering if you could help me with some information about SkyWings airline. I'm interested in booking a flight from Mumbai to Bangalore. Could you please tell me which terminal SkyWings operates from in Mumbai? I would really appreciate your help with this. Thank you so much!,Check-In And Boarding
"Hi, when I booked a SkyWings flightm the amount got deducted from my account. However, I have not received the ticket. Please help me.",Fares And Payments
"Hello, I am interested in knowing details on any currency exchange fees or charges for payments? Thank you.",Fares And Payments
"Hello, I was wondering if a driving license would be acceptable as a valid form of identification for domestic flights with SkyWings airline. Thank you.",Travel Documents
"Hello, I hope you're doing well. I was wondering if SkyWings provides any meal options for passengers who are fasting for religious reasons, such as myself? Thank you.
",Passenger Services
"Hi there, I'm a little confused about the travel requirements for my infant. I heard that SkyWings only accepts birth certificates for adults, but I was wondering if there are any exceptions for infants traveling with a customer service agent like myself. Can you please clarify this for me?",Travel Documents
I'm sorry to hear that your flight with SkyWings has been delayed. Can you please provide me with your flight number and the reason for your inquiry?,Flight Operations
"Hi there! I was hoping to inquire about the cancellation fees for my upcoming flight with SkyWings. I noticed that the airline offers only domestic flights, and I'm curious about the cost of canceling my ticket. Could you please provide me with more information on this matter?","Booking, Modifications And Cancellations"
"Excuse me, I have a query regarding the upcoming local elections in my area. Can you provide me with any information or updates on the candidates and their parties? I'm particularly interested in the ones who have promised to improve the infrastructure and transportation systems in our city. Thank you.",Irrelevant
"Hello, I'm interested in flying from [insert destination 1] to [insert destination 2] with SkyWings. Is this route currently operational?",Flight Operations
"Hello, I recently booked a flight with SkyWings for a domestic trip, but unfortunately, I had to cancel it due to unforeseen circumstances. I would like to know about the refund policy for my booking. Can you please provide me with more details on how to proceed with the refund process? Thank you for your help.",Refunds
"Hello, I have a question regarding my recent flight with SkyWings. I was wondering if there is a way to speak to a representative about an issue I encountered during my journey. I appreciate your assistance in this matter.",Customer Support
"Hi there, I'm having trouble updating my contact details on my SkyWings account. Can you please guide me on how to do it? I've tried going through the website but I'm not sure what to do next. Any help would be greatly appreciated.",Customer Support
"Hello, I am a customer with a question regarding airport check-in procedures. Can you please guide me on how to check-in for my flight to Mumbai from Delhi? I would appreciate it if you could provide me with the necessary information. Thank you.",Check-In And Boarding
"I'm sorry to hear that your luggage didn't arrive. Can you please provide me with your flight details, including the date, time, and destination? I will do my best to assist you with this issue.",Baggage
"Hello, I am a passenger with SkyWings and I have a question about baggage policies. Can you please inform me about the maximum weight and size limit for carry-on luggage and checked-in bags? Also, are there any additional fees for overweight or oversized bags?",Baggage
"Hello, I hope you're doing well. I have a question regarding food allergies. As a customer with dietary restrictions, I'm wondering if SkyWings offers allergen-free meal options for their domestic flights. Could you please provide me with some information on this matter? Thank you for your time.",Passenger Services
"Hi, I have a question about SkyWings rewards points. Can you please let me know how long they are valid for?",Loyalty And Rewards
"Hi, I recently made a booking with SkyWings for a domestic flight but unfortunately, I need to cancel it due to unforeseen circumstances. Can you please inform me about the refund policy for cancelled bookings?",Refunds
"Hello, I am interested in booking a domestic flight with SkyWings. Can you please provide me with information on any service fees or hidden charges associated with the booking process? Thank you for your assistance.
",Fares And Payments
"Hello, I'm planning a trip to Bangalore and I was wondering if there are any available flights with SkyWings for my desired travel dates. If there are, could you please provide me with the details, such as the flight number, departure and arrival times, and the cost? Thank you so much for your help!","Booking, Modifications And Cancellations"
"Hi there, I'm currently on a SkyWings domestic Indian flight and it seems to be experiencing some delays. Can you please provide some insight into the usual causes for these delays? I appreciate any information you can share.",Flight Operations
"Hi, I'm not sure if my SkyWings membership is still active. Can you please confirm if I can still use my membership for domestic flights?",Loyalty And Rewards
"Hi, I'm sorry to bother you, but I have a question about the onboard entertainment on my SkyWings flight. Is there anything available to watch or listen to during the flight? Thank you.",Passenger Services
"Hello, I have a question about the terminal information at your airport. I am flying with SkyWings and I am not sure where to go. Can you please provide me with the terminal number and the location of the SkyWings check-in counters? Thank you.",Check-In And Boarding
"Hello, I am a customer who will be flying with SkyWings airline. I was wondering if my boarding pass will be valid if I choose to do web check-in. I appreciate your help in answering my question.",Check-In And Boarding
"Certainly, I'd be happy to help. May I know the reason for your inquiry? Is there anything specific you would like to know about our policy regarding oxygen cylinders onboard for medical reasons?",Passenger Services
"Hi there, I'm a bit confused about the check-in process for SkyWings. Can you please let me know if there are any specific requirements or if I need to do anything before checking in? Also, do I need to provide any additional documents or information? Thank you.",Check-In And Boarding
"Hello, I am sorry to hear that you haven't received your refund for the cancelled flight with SkyWings. Can you please provide me with your booking reference number so that I can look into the issue for you?",Refunds
"Hello, I am planning a trip and would like to know if I can use my SkyWings loyalty points to get a discount on my domestic flight. Can you please provide me with more information on how this works?",Loyalty And Rewards
I have a question about my upcoming flight with SkyWings. Could you please let me know if my route is serviced by a jet or turboprop? I appreciate your assistance.,Flight Operations
"Hi there! I hope this email finds you well. I submitted feedback on my recent flight with SkyWings, but I haven't received a response yet. I was wondering if there's any update on the status of my feedback. Thank you for your attention to this matter. Best regards, [Your Name]",Customer Support
"Hello, I am looking for the flight timings for a domestic route within India. Can you please provide me with the details for my preferred date and time of travel? I would appreciate any assistance you can offer.",Flight Operations
"Hi, I recently booked a flight with SkyWings for a domestic trip in India. However, due to unforeseen circumstances, I was only able to use half of my allocated flight segment. I was wondering if it's possible to receive a partial refund for the unused portion of my flight segment. Could you please provide me with some guidance on how to proceed with this matter?",Refunds
"Hi there, I am planning to book a flight with SkyWings and I have a question. Is it possible to request a wheelchair in advance for my flight? I have a mobility issue and I would appreciate it if the airline could accommodate my needs. Thank you for your help.",Passenger Services
"Hello, I am a customer of SkyWings and I recently flew with your airline. Unfortunately, I forgot to enter my loyalty ID during check-in. Is it possible for me to still claim points for my flight? Thank you for your assistance.",Loyalty And Rewards
"Hello, I have a query regarding my flight with SkyWings. Can you please provide me with information about the terminal number where I should proceed to check-in for my domestic flight?",Check-In And Boarding
"Hello, I have a question about SkyWings airline. Can you please tell me about the typical on-time performance of your domestic flights? I'm interested in planning my travel and want to make sure I can rely on your airline for punctuality.",Flight Operations
"I'm sorry, but I'm not sure how to go about upgrading my seat using SkyWings loyalty points. Can you please provide me with some guidance on the process?",Loyalty And Rewards
"I am not sure if I can bring my guitar on board, and I am not sure if I can bring my football too. Can you please provide me with more information on this matter?",Baggage
"Hi there! I'm planning to cook some delicious biryani for dinner tonight. I was wondering if you could recommend any good recipes or tips for making the perfect biryani. Also, do you have any suggestions for the best local markets or grocery stores where I can find high-quality ingredients? Thank you in advance for your help!",Irrelevant
"Hi, I was wondering if SkyWings uses different aircraft types for various Indian routes. Could you please provide me with more information on this?",Flight Operations
"Hi there, I have a question regarding my recent booking with SkyWings. I noticed that my name on the booking does not match the details on my identity card. I'm not sure if this is a mistake or if it's a requirement for the booking. Could you please clarify this for me? Thank you.",Customer Support
"Hi there, I was wondering if you could help me with something. I've been looking for freelance job websites and I was wondering if you could recommend any that are popular in India. I'm interested in finding work that I can do remotely, as I'm currently living abroad. Thank you so much for your help!",Irrelevant
"Hi there, I'm a fresher looking for some advice on how to create a resume that will catch the eye of potential employers. Can you please guide me through the process and suggest some tips to make my resume stand out?",Irrelevant
"Hello, I'm interested in booking a flight with SkyWings and I was wondering if a handicapped medical certificate can be used as a valid photo ID. Could you please provide me with more information on this matter? Thank you.",Travel Documents
"Hi, I recently flew with SkyWings and I noticed that my baggage was missing. I would appreciate it if you could assist me with this issue. Can you please guide me on the next steps to take to resolve this matter? Thank you.",Baggage
"Hello, I recently booked a domestic flight with SkyWings and unfortunately, I had to cancel it. Can you please let me know if I will be refunded the full amount for my ticket?",Refunds
"Hi, I was wondering if I can use my SkyWings loyalty points to get a discount on my upcoming domestic flight. Can you please let me know if this is possible? Thank you!",Loyalty And Rewards
"Hello, I'm a customer looking to book a flight with SkyWings. I would like to inquire about the recommended time to arrive at the airport for check-in. Could you please provide some guidance on this matter? Thank you in advance for your assistance.",Check-In And Boarding
"Hello, I was hoping to inquire about the flight schedule between two Indian cities. Could you please let me know if flights operate daily on SkyWings? Thank you for your assistance.",Flight Operations
"Hi there, I'm looking to book a flight with SkyWings airline. Could you please let me know if they participate in any government travel schemes? Thank you!",Other
"Hello, I'm an avid aviation enthusiast and a frequent flyer with SkyWings. I was wondering if SkyWings offers any workshops or sessions for aspiring pilots? I'm particularly interested in any opportunities for learning and training in the domestic aviation industry. Thank you for your time and assistance.",Other
I need help booking a flight from Delhi to Mumbai.,"Booking, Modifications And Cancellations"
"Hello, I would like to book a flight from Mumbai to Bangalore with SkyWings airline. Can you please provide me with the available options and prices for the desired dates?
","Booking, Modifications And Cancellations"
"Hello, I would like to inquire about the operating status of a flight from Mumbai to Delhi with SkyWings. Is this flight currently scheduled to depart?",Flight Operations
"Hello, I was wondering if SkyWings offers any student travel benefits for domestic flights in India.",Other
"Hello, I have a question regarding the airport check-in procedures for SkyWings airline. Can you please guide me on what documents and identification I need to carry for a domestic flight? Also, do you have any specific instructions for security checks or baggage handling?",Check-In And Boarding
"Hello, I was wondering if the flight from Mumbai to Delhi is currently operational. I have a meeting scheduled in Delhi tomorrow and I was hoping to book a ticket. Can you please let me know if there are any delays or cancellations on this route? Thank you for your help.
",Flight Operations
"Hi, I was wondering if there are any ongoing promotional offers or discounts available for booking domestic flights with SkyWings airline?",Fares And Payments
"Hello, I am planning a domestic flight with SkyWings airline and I wanted to know if there are any additional fees or charges I should be aware of. Can you please provide me with a detailed list of all the costs involved in my booking? Thank you for your assistance.
",Fares And Payments
"Hi there! I'm having trouble checking my electricity bill online. Can you help me with that?
",Irrelevant
"Hello, I have a question regarding your airline. Could you please let me know if there are any cancellation charges that I need to pay before I receive a refund? Thank you.",Refunds
"Hi, I'm having trouble accessing my loyalty account with SkyWings airline. I've tried resetting my password multiple times, but I keep getting an error message. Can you please help me recover my account? I've been a loyal customer for over five years and have never encountered this issue before. Thank you for your assistance.",Customer Support
"Hi, I'm a customer with a query regarding my baggage. Can you please let me know the baggage policy for SkyWings airline? I have a few items that I'm not sure if I can bring onboard. Also, is there any way I can check the status of my baggage? Thank you.",Baggage
"I've been trying to connect to your Wi-Fi for the past hour, but I keep getting an error message. Can you please help me troubleshoot this issue? I need to be able to access my emails and work documents for an important meeting later today.",Irrelevant
"Hello, I recently booked a domestic flight with SkyWings airline, but unfortunately, I won't be able to travel due to unforeseen circumstances. Can you please guide me on the refund policy for domestic flight bookings? I would really appreciate it if you could help me out.",Refunds
"Hello, I was wondering if there is any possibility of getting a refund for my ticket with SkyWings. I am interested in knowing if the convenience or service fees are refunded along with the ticket price. Thank you.",Refunds
Hi! Can you inform me about the different ways I can pay for my SkyWings booking?,Fares And Payments
"Hello, I recently flew with SkyWings and I forgot to enter my loyalty ID. Is there any way I can still claim points for this flight?",Loyalty And Rewards
"Hello, I am interested in booking a flight from Delhi to Mumbai with SkyWings airline. Can you please confirm if this route is currently operational and available for booking?",Flight Operations
"Hello, I was wondering if SkyWings supports local job creation in the cities it operates in?",Other
"Hello, I have a question regarding the travel requirements for domestic flights with SkyWings. Is it necessary for foreign nationals to have a passport for domestic flights? I would appreciate your assistance in clarifying this matter.",Travel Documents
"I have a question about your baggage policies for domestic flights. Can you please provide me with information on the maximum weight and size of baggage allowed, as well as any additional fees or restrictions? Thank you for your help.",Baggage
"Hello, I hope you're doing well. I have a query regarding your airline's policies related to weather disruptions. Can you please provide me with information on how SkyWings handles such situations?",Other
"Hello, I am looking to make some changes to my upcoming flight with SkyWings. Is there any way I can modify my booking details, such as changing my seat or adding a companion? Also, I would like to inquire about the possibility of cancelling my reservation if needed. Thank you for your assistance.","Booking, Modifications And Cancellations"
"Hello, I have a question regarding carrying some unusual and oversized items on a flight with SkyWings. Is it possible to transport these items on board, or will they need to be checked in? Also, what are the size and weight restrictions for these items, as I want to make sure they are within the airline's guidelines. Thank you for your assistance.",Baggage
"Hi, I need help to book a flight from Kolkata to Chennai.","Booking, Modifications And Cancellations"
"Hello, I am a customer from India and I would like to inquire about the check-in process for SkyWings airline. I have a disability photo ID card and was wondering if it would be accepted for check-in. Can you please let me know if there are any specific requirements for this card to be accepted? Thank you for your time and assistance.",Check-In And Boarding
"Hi there, I was wondering if you could clarify which documents are accepted for foreign nationals traveling on domestic flights with SkyWings. I'm not sure if I need any additional paperwork or if you have any specific requirements. Thank you!",Travel Documents
"Hi there! I'm sorry to bother you, but I'm having trouble figuring out what documents are required for foreign nationals traveling on domestic flights with SkyWings. Can you please provide me with some guidance on this matter?",Travel Documents
"Hello, I'm a frequent flyer with SkyWings and I was wondering if there have been any updates to your payment policies or additional charges for domestic flights. I appreciate your assistance in helping me plan my upcoming trip.
",Fares And Payments
"Hi, I am a customer from India and I have a query regarding my ticket purchase with SkyWings airline. Can you please let me know if the convenience or service fees are refunded along with the ticket price? Thank you.",Refunds
"Hello, I hope you are doing well. I was wondering if the flight from Delhi to Mumbai is currently operational. Could you please confirm for me? I have a connecting flight from Mumbai to Goa, and I need to make sure that my flight is on time. Thank you for your assistance.",Flight Operations
"Hi, I'm a customer of SkyWings airline and I was wondering if you have any initiatives in place to reduce waste during flights. I've heard that some airlines are taking steps towards sustainability, and I'm curious to know what SkyWings is doing to make a positive impact on the environment.",Other
"Hi, I'm a passenger on a SkyWings flight and I was wondering if there is any onboard entertainment available during the flight.",Passenger Services
"Hello, I'm interested in booking a domestic flight with SkyWings. I was wondering if there are any installment options or payment plans available for my booking. Could you please provide me with more information on this?
",Fares And Payments
"Hello, I am planning to travel with SkyWings airline for a domestic flight. I have a customer service query regarding the identification requirements for travel. Will a nationalized bank passbook be accepted as valid ID for travel?",Travel Documents
Hi there! I'm planning a trip between Mumbai and Delhi and I was wondering if there are multiple flights available per day between these two cities. Can you please provide me with some information on the flight schedules and pricing?,Flight Operations
"Hello, I hope you are having a great day. I was wondering if you could provide me with some information about the upcoming local elections in my area. I am curious to know the candidates and their platforms, as well as the voting process. Thank you for your help!",Irrelevant
"Hello, what is the list of cards you accept as payment options at SkyWings?",Fares And Payments
